"","...1","sensor_ID","date_collected","AQI","temperature","County","stcofips","omb","medinc","unemp","pz","day_number"
"1",1,21267,2022-03-09,436.424,67.467,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",68
"2",2,21267,2022-03-08,392.296,84,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",67
"3",3,47595,2022-03-17,301.462,73,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",76
"4",4,47595,2022-03-18,286.947,81.458,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",77
"5",5,31261,2022-03-15,286.516,63.433,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",74
"6",6,36451,2022-03-04,254.083,85.167,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",63
"7",7,36451,2022-03-20,232.851,72.828,"Clay",37043,"Not urban","Lower income","Moderate unemployment","Western",79
"8",8,21267,2022-03-07,231.843,86.4,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",66
"9",9,21267,2022-03-15,224.825,79.069,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",74
"10",10,21267,2022-03-13,211.112,60.133,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",72
"11",11,21267,2022-03-10,207.19,59.833,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",69
"12",12,21267,2022-03-11,199.427,65.967,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",70
"13",13,53383,2022-03-20,196.319,73.933,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",79
"14",14,47465,2022-03-06,189.4,83.9,"Durham",37063,"Urban center","Higher income","Lower unemployment","North Central",65
"15",15,21267,2022-03-03,189.39,90.267,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",62
"16",16,21267,2022-03-19,189.316,86.233,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",78
"17",17,21267,2022-03-05,186.43,78.033,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",64
"18",18,21267,2022-03-04,181.797,80.267,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",63
"19",19,21267,2022-03-02,180.541,83.138,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",61
"20",20,53383,2022-03-01,179.53,73.433,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",60
"21",21,21267,2022-03-14,175.845,74.655,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",73
"22",22,21267,2022-03-01,167.932,75.448,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",60
"23",23,21267,2022-03-20,166.903,79.867,"Orange",37135,"Urban center","Higher income","Lower unemployment","North Central",79
"24",24,47595,2022-03-15,159.787,73.5,"Johnston",37101,"Urban center","Higher income","Lower unemployment","North Central",74
"25",25,31261,2022-03-14,155.377,61.033,"Yancey",37199,"Not urban","Lower income","Lower unemployment","Northwest",73
"26",26,53383,2022-03-02,147.912,82.033,"Rockingham",37157,"Urban outlying","Middle income","Moderate unemployment","Piedmont Triad",61
"27",27,52885,2022-03-05,146.683,78.833,"Rowan",37159,"Urban outlying","Middle income","Moderate unemployment","Southwest",64
"28",28,38875,2022-03-04,144.333,77.1,"Pender",37141,"Urban outlying","Higher income","Moderate unemployment","Southeast",63
"29",29,47555,2022-03-03,118.928,87.833,"Wake",37183,"Urban center","Higher income","Lower unemployment","North Central",62
